(4.6587301587301591, 5.333333333333333, 0L, 0L, 11L, 13L)
(3.3266666666666667, 100.20666666666666, 0L, 90L, 9L, 115L)
(0.33333333333333331, 136.33333333333334, 0L, 134L, 2L, 140L)
(7.6570247933884295, 162.49586776859505, 0L, 154L, 17L, 172L)
(0.45000000000000001, 215.55000000000001, 0L, 211L, 2L, 222L)
(0.68965517241379315, 252.72413793103448, 0L, 247L, 3L, 260L)
(6.5043859649122808, 278.49561403508773, 0L, 270L, 15L, 288L)
(5.0710784313725492, 385.85539215686276, 0L, 367L, 14L, 408L)
(4.2350230414746548, 498.73732718894007, 0L, 487L, 11L, 512L)
(11.445344129554655, 44.068825910931174, 3L, 36L, 21L, 54L)
(11.025510204081632, 258.7091836734694, 4L, 251L, 19L, 267L)
(12.5695067264574, 143.5695067264574, 5L, 135L, 21L, 153L)
(15.783333333333333, 441.60833333333335, 8L, 433L, 25L, 451L)
(17.218446601941746, 26.873786407766989, 9L, 19L, 26L, 35L)
(19.900900900900901, 423.62162162162161, 12L, 415L, 29L, 432L)
(24.179533213644525, 312.21184919210054, 13L, 294L, 35L, 330L)
(25.260397830018082, 197.22784810126583, 14L, 179L, 37L, 215L)
(29.963093145869948, 78.026362038664317, 19L, 60L, 42L, 97L)
(33.118393234672304, 476.9365750528541, 23L, 460L, 44L, 495L)
(36.630188679245286, 367.60754716981131, 28L, 359L, 46L, 378L)
(43.273946360153253, 239.7375478927203, 33L, 223L, 55L, 258L)
(43.412587412587413, 132.83916083916083, 34L, 124L, 54L, 143L)
(41.81707317073171, 348.16666666666669, 34L, 339L, 51L, 358L)
(47.756554307116104, 113.47191011235955, 39L, 105L, 57L, 123L)
(50.761020881670532, 12.522041763341067, 40L, 0L, 64L, 27L)
(54.150268336314845, 403.77996422182468, 43L, 385L, 66L, 423L)
(52.611464968152866, 506.96815286624206, 44L, 501L, 63L, 512L)
(57.137795275590548, 290.51968503937007, 49L, 282L, 67L, 300L)
(61.896980461811722, 167.9644760213144, 51L, 150L, 74L, 187L)
(62.442687747035571, 273.49407114624506, 53L, 265L, 72L, 283L)
(64.174999999999997, 58.214285714285715, 55L, 50L, 75L, 68L)
(69.654109589041099, 447.94691780821915, 58L, 430L, 82L, 467L)
(69.986842105263165, 39.692982456140349, 62L, 32L, 79L, 49L)
(74.954144620811292, 326.63668430335099, 64L, 308L, 87L, 346L)
(76.82437275985663, 219.19354838709677, 68L, 210L, 87L, 229L)
(79.920792079207928, 101.42574257425743, 71L, 92L, 90L, 112L)
(81.743902439024396, 200.88617886178861, 73L, 193L, 91L, 210L)
(83.717054263565885, 496.90310077519382, 75L, 489L, 94L, 506L)
(84.901459854014604, 81.211678832116789, 76L, 72L, 95L, 91L)
(87.143518518518519, 479.2962962962963, 79L, 472L, 96L, 488L)
(88.283088235294116, 379.75735294117646, 80L, 371L, 98L, 390L)
(85.263157894736835, 0.47368421052631576, 81L, 0L, 91L, 2L)
(93.833992094861657, 260.201581027668, 85L, 252L, 103L, 270L)
(93.905405405405403, 359.68581081081084, 85L, 350L, 104L, 370L)
(96.025974025974023, 145.62337662337663, 86L, 137L, 107L, 156L)
(98.51229508196721, 242.3360655737705, 90L, 234L, 108L, 252L)
(100.94318181818181, 29.117424242424242, 92L, 20L, 112L, 38L)
(101.5827067669173, 125.87593984962406, 93L, 117L, 111L, 136L)
(102.54480286738351, 424.90322580645159, 94L, 416L, 112L, 435L)
(100.94736842105263, 509.86842105263156, 95L, 508L, 108L, 512L)
(101.33333333333333, 505.13333333333333, 98L, 504L, 105L, 507L)
(107.19806763285024, 13.44927536231884, 99L, 6L, 116L, 22L)
(107.2479674796748, 405.09756097560978, 99L, 396L, 116L, 415L)
(108.46468401486989, 302.26394052044611, 100L, 293L, 118L, 312L)
(111.57312252964427, 189.86561264822134, 103L, 182L, 121L, 199L)
(113.1800766283525, 284.05363984674329, 104L, 275L, 123L, 293L)
(115.99612403100775, 70.321705426356587, 107L, 62L, 126L, 80L)
(115.65648854961832, 170.56488549618319, 107L, 162L, 125L, 180L)
(117.9132075471698, 468.13962264150945, 109L, 459L, 128L, 478L)
(122.45378151260505, 52.075630252100844, 114L, 44L, 132L, 61L)
(124.09935897435898, 348.05448717948718, 114L, 339L, 135L, 359L)
(122.43359375, 449.828125, 114L, 441L, 132L, 459L)
(129.12030075187971, 232.3233082706767, 120L, 224L, 139L, 242L)
(128.87209302325581, 328.65891472868219, 120L, 320L, 138L, 338L)
(131.94982078853047, 116.52688172043011, 123L, 108L, 142L, 127L)
(132.83842794759826, 214.10917030567686, 125L, 206L, 142L, 223L)
(138.26272912423624, 498.38289205702648, 127L, 485L, 151L, 512L)
(137.07729468599032, 5.1739130434782608, 128L, 0L, 148L, 13L)
(137.0234375, 96.37109375, 129L, 88L, 146L, 106L)
(141.93987341772151, 385.06803797468353, 130L, 366L, 154L, 404L)
(146.706390328152, 264.85664939550952, 135L, 248L, 159L, 283L)
(150.37716262975778, 151.15570934256056, 139L, 133L, 163L, 170L)
(152.73790322580646, 41.943548387096776, 144L, 34L, 162L, 51L)
(158.3648, 430.976, 147L, 413L, 171L, 450L)
(158.82608695652175, 25.521739130434781, 150L, 18L, 168L, 34L)
(163.85092127303182, 308.88609715242882, 152L, 290L, 177L, 328L)
(164.63003663003664, 204.43589743589743, 156L, 196L, 175L, 214L)
(171.44628099173553, 77.208264462809922, 159L, 59L, 184L, 96L)
(169.53359683794466, 185.56521739130434, 161L, 177L, 179L, 195L)
(174.99611650485437, 474.97475728155342, 164L, 457L, 187L, 493L)
