(111.09090909090909, 734.09090909090912, 109L, 732L, 114L, 737L, 0.94733285903930664)
(111.0, 880.0, 109L, 878L, 114L, 883L, 0.94951486587524414)
(112.60869565217391, 490.95652173913044, 110L, 489L, 116L, 494L, 0.92047429084777832)
(112.04000000000001, 539.39999999999998, 110L, 537L, 115L, 543L, 0.93046808242797852)
(112.66666666666667, 588.125, 110L, 586L, 116L, 591L, 0.90238934755325317)
(111.90909090909091, 636.90909090909088, 110L, 635L, 115L, 640L, 0.95258992910385132)
(112.72727272727273, 685.18181818181813, 110L, 683L, 116L, 688L, 0.92059832811355591)
(111.90909090909091, 782.90909090909088, 110L, 781L, 115L, 786L, 0.93055045604705811)
(113.45833333333333, 248.20833333333334, 111L, 246L, 117L, 252L, 0.90435081720352173)
(113.5, 345.5, 111L, 343L, 117L, 349L, 0.88619375228881836)
(113.21739130434783, 442.08695652173913, 111L, 440L, 117L, 445L, 0.93902057409286499)
(114.23809523809524, 56.61904761904762, 112L, 54L, 117L, 60L, 0.94425570964813232)
(114.08695652173913, 152.21739130434781, 112L, 150L, 117L, 156L, 0.94279384613037109)
(114.23809523809524, 200.38095238095238, 112L, 198L, 117L, 204L, 0.93404191732406616)
(114.25, 296.75, 112L, 295L, 117L, 300L, 0.94726765155792236)
(114.0, 394.0, 112L, 392L, 117L, 397L, 0.94280993938446045)
(115.21052631578948, 9.3684210526315788, 113L, 7L, 118L, 12L, 0.9388115406036377)
(115.04000000000001, 104.59999999999999, 113L, 102L, 118L, 108L, 0.94851738214492798)
(131.03389830508473, 612.4406779661017, 127L, 609L, 136L, 617L, 1.0)
(131.25454545454545, 710.0, 127L, 707L, 136L, 714L, 1.0)
(130.70588235294119, 806.9019607843137, 127L, 804L, 136L, 811L, 1.0)
(132.77777777777777, 417.53968253968253, 128L, 414L, 138L, 422L, 1.0)
(132.06896551724137, 514.5, 128L, 511L, 137L, 519L, 1.0)
(133.44444444444446, 224.36507936507937, 129L, 221L, 139L, 229L, 1.0)
(133.20689655172413, 321.08620689655174, 129L, 318L, 139L, 325L, 1.0)
(134.85454545454544, 32.890909090909091, 131L, 30L, 140L, 37L, 1.0)
(134.57142857142858, 128.0408163265306, 131L, 125L, 139L, 132L, 1.0)
(137.05454545454546, 758.72727272727275, 133L, 755L, 142L, 763L, 1.0)
(138.05769230769232, 563.94230769230774, 134L, 561L, 143L, 568L, 1.0)
(137.62962962962962, 660.7962962962963, 134L, 657L, 143L, 665L, 1.0)
(137.28888888888889, 856.13333333333333, 134L, 853L, 142L, 860L, 1.0)
(139.14035087719299, 369.5263157894737, 135L, 366L, 144L, 374L, 1.0)
(138.85714285714286, 466.375, 135L, 463L, 144L, 471L, 1.0)
(140.21428571428572, 176.19642857142858, 136L, 173L, 145L, 181L, 1.0)
(139.86206896551724, 272.68965517241378, 136L, 269L, 145L, 277L, 1.0)
(140.77777777777777, 80.259259259259252, 137L, 77L, 146L, 85L, 1.0)
(160.38095238095238, 879.76190476190482, 158L, 878L, 164L, 883L, 0.94208717346191406)
(161.40000000000001, 538.96000000000004, 159L, 537L, 165L, 542L, 0.91627645492553711)
(160.91304347826087, 635.78260869565213, 159L, 633L, 164L, 639L, 0.93308532238006592)
(161.13636363636363, 733.5454545454545, 159L, 731L, 164L, 737L, 0.94334375858306885)
(161.0, 831.0, 159L, 829L, 164L, 834L, 0.95461457967758179)
(162.59259259259258, 441.25925925925924, 160L, 439L, 166L, 445L, 0.90642011165618896)
(162.09090909090909, 587.09090909090912, 160L, 585L, 165L, 590L, 0.92383354902267456)
(161.85714285714286, 684.80952380952385, 160L, 683L, 165L, 688L, 0.93336844444274902)
(161.75, 781.75, 160L, 780L, 165L, 785L, 0.94157814979553223)
(163.27272727272728, 247.95454545454547, 161L, 246L, 166L, 251L, 0.92020893096923828)
(163.0, 490.0, 161L, 488L, 166L, 493L, 0.95086961984634399)
(164.38095238095238, 8.7619047619047628, 162L, 7L, 168L, 12L, 0.93863719701766968)
(164.0, 55.5, 162L, 53L, 167L, 59L, 0.92526674270629883)
(164.09090909090909, 103.90909090909091, 162L, 102L, 167L, 107L, 0.9287717342376709)
(163.90909090909091, 151.90909090909091, 162L, 150L, 167L, 155L, 0.92748528718948364)
(164.0, 200.0, 162L, 198L, 167L, 203L, 0.92609375715255737)
(164.0, 296.0, 162L, 294L, 167L, 299L, 0.93413269519805908)
(163.91304347826087, 344.21739130434781, 162L, 342L, 167L, 348L, 0.9283592700958252)
(164.0, 393.0, 162L, 391L, 167L, 396L, 0.91797471046447754)
(179.55737704918033, 806.62295081967216, 175L, 803L, 185L, 811L, 1.0)
(181.78333333333333, 417.28333333333336, 177L, 414L, 187L, 422L, 1.0)
(181.52830188679246, 514.24528301886789, 177L, 511L, 186L, 519L, 1.0)
(181.0, 611.67857142857144, 177L, 608L, 186L, 616L, 1.0)
(180.83636363636364, 709.30909090909086, 177L, 706L, 186L, 714L, 1.0)
(182.98360655737704, 223.18032786885246, 178L, 220L, 188L, 228L, 1.0)
(182.578125, 320.546875, 178L, 317L, 188L, 325L, 1.0)
(183.93103448275863, 31.862068965517242, 179L, 28L, 189L, 36L, 1.0)
(183.88333333333333, 127.43333333333334, 179L, 124L, 189L, 132L, 1.0)
(186.25454545454545, 758.0, 182L, 755L, 191L, 762L, 1.0)
(185.93220338983051, 855.52542372881351, 182L, 852L, 191L, 860L, 1.0)
(187.03389830508473, 660.4406779661017, 183L, 657L, 192L, 665L, 1.0)
(188.13725490196077, 465.92156862745099, 184L, 463L, 193L, 470L, 1.0)
(187.79245283018867, 563.18867924528297, 184L, 560L, 193L, 568L, 1.0)
(189.66666666666666, 175.50793650793651, 185L, 172L, 195L, 180L, 1.0)
(189.14754098360655, 272.34426229508199, 185L, 269L, 194L, 277L, 1.0)
(188.82758620689654, 368.81034482758622, 185L, 365L, 194L, 373L, 1.0)
(190.2962962962963, 79.611111111111114, 186L, 76L, 195L, 84L, 1.0)
(210.5, 733.0, 208L, 731L, 214L, 736L, 0.90977740287780762)
(210.0, 831.0, 208L, 829L, 213L, 834L, 0.92912644147872925)
(210.42105263157896, 879.10526315789468, 208L, 877L, 214L, 882L, 0.93976801633834839)
(211.61904761904762, 441.23809523809524, 209L, 439L, 215L, 444L, 0.89216941595077515)
(211.08333333333334, 635.5, 209L, 633L, 214L, 639L, 0.92944061756134033)
(210.75, 684.75, 209L, 683L, 214L, 688L, 0.90182340145111084)
(210.90909090909091, 781.90909090909088, 209L, 780L, 214L, 785L, 0.92238640785217285)
(212.54545454545453, 489.86363636363637, 210L, 488L, 216L, 493L, 0.9129602313041687)
(211.75, 538.25, 210L, 536L, 215L, 541L, 0.90178358554840088)
(211.8095238095238, 586.85714285714289, 210L, 585L, 215L, 590L, 0.91272765398025513)
(212.90909090909091, 247.90909090909091, 211L, 246L, 216L, 251L, 0.92343682050704956)
(213.0, 296.5, 211L, 294L, 216L, 300L, 0.90590167045593262)
(212.95652173913044, 344.39130434782606, 211L, 342L, 216L, 348L, 0.91853076219558716)
(213.0, 393.0, 211L, 391L, 216L, 396L, 0.92928630113601685)
(213.96000000000001, 55.600000000000001, 212L, 53L, 217L, 59L, 0.91319483518600464)
(214.09090909090909, 150.90909090909091, 212L, 149L, 217L, 154L, 0.95677149295806885)
(215.31818181818181, 8.1363636363636367, 213L, 6L, 219L, 11L, 0.94489938020706177)
(215.19999999999999, 103.48, 213L, 101L, 219L, 107L, 0.93833541870117188)
(215.0, 199.0, 213L, 197L, 218L, 202L, 0.97361063957214355)
(229.66129032258064, 806.20967741935488, 225L, 803L, 235L, 811L, 1.0)
(230.609375, 708.75, 226L, 705L, 236L, 713L, 1.0)
(231.43103448275863, 513.94827586206895, 227L, 510L, 237L, 518L, 1.0)
(231.25, 610.92857142857144, 227L, 607L, 236L, 615L, 1.0)
(232.35483870967741, 416.5, 228L, 413L, 238L, 421L, 1.0)
(233.5, 223.39393939393941, 229L, 220L, 239L, 228L, 1.0)
(233.33333333333334, 319.68333333333334, 229L, 316L, 238L, 324L, 1.0)
(234.69354838709677, 31.56451612903226, 230L, 28L, 240L, 36L, 1.0)
(234.53968253968253, 127.33333333333333, 230L, 124L, 240L, 132L, 1.0)
(236.2037037037037, 757.37037037037032, 232L, 754L, 241L, 762L, 1.0)
(236.30188679245282, 855.24528301886789, 232L, 852L, 241L, 860L, 1.0)
(237.5, 660.03571428571433, 233L, 657L, 243L, 664L, 1.0)
(238.14545454545456, 562.76363636363635, 234L, 559L, 243L, 567L, 1.0)
(239.83870967741936, 271.66129032258067, 235L, 268L, 245L, 276L, 1.0)
(239.19642857142858, 368.57142857142856, 235L, 365L, 244L, 373L, 1.0)
(238.85185185185185, 465.5, 235L, 462L, 244L, 470L, 1.0)
(240.32727272727271, 175.05454545454546, 236L, 171L, 245L, 179L, 1.0)
(241.13793103448276, 79.275862068965523, 237L, 76L, 246L, 84L, 1.0)
(260.59259259259261, 732.74074074074076, 258L, 730L, 264L, 736L, 0.92642319202423096)
(260.09090909090907, 781.90909090909088, 258L, 780L, 263L, 785L, 0.94440943002700806)
(260.17391304347825, 830.43478260869563, 258L, 828L, 263L, 834L, 0.91239619255065918)
(259.75, 879.25, 258L, 877L, 263L, 882L, 0.91779565811157227)
(261.09090909090907, 634.90909090909088, 259L, 633L, 264L, 638L, 0.92030858993530273)
(261.5, 684.0, 259L, 682L, 265L, 687L, 0.91182094812393188)
(262.56, 343.60000000000002, 260L, 341L, 266L, 347L, 0.90717333555221558)
(261.90909090909093, 440.09090909090907, 260L, 438L, 265L, 443L, 0.92264294624328613)
(262.09090909090907, 489.09090909090907, 260L, 487L, 265L, 492L, 0.93212449550628662)
(261.95999999999998, 537.60000000000002, 260L, 535L, 265L, 541L, 0.91401326656341553)
(262.19999999999999, 586.5, 260L, 584L, 265L, 590L, 0.91819506883621216)
(262.90909090909093, 391.90909090909093, 261L, 390L, 266L, 395L, 0.92301809787750244)
(264.25, 55.25, 262L, 53L, 267L, 58L, 0.94604802131652832)
(264.78260869565219, 103.08695652173913, 262L, 101L, 268L, 106L, 0.9121127724647522)
