(13.471212121212121, 77.219696969696969, 0L, 63L, 29L, 92L)
(9.1390476190476182, 316.76952380952383, 0L, 303L, 21L, 332L)
(7.2731006160164275, 545.59137577002059, 0L, 530L, 18L, 564L)
(6.4858490566037732, 745.36320754716985, 0L, 731L, 17L, 764L)
(15.294029850746268, 276.3805970149254, 2L, 261L, 30L, 293L)
(20.365177195685671, 870.17257318952238, 7L, 856L, 35L, 886L)
(24.676870748299319, 43.464285714285715, 12L, 30L, 38L, 58L)
(28.51552795031056, 834.86956521739125, 15L, 820L, 43L, 850L)
(34.057507987220447, 630.29925452609154, 17L, 614L, 52L, 648L)
(35.448931116389552, 401.47387173396675, 19L, 387L, 55L, 417L)
(42.151515151515149, 593.03463203463207, 28L, 578L, 58L, 608L)
(46.134344528710727, 164.04225352112675, 29L, 147L, 63L, 183L)
(44.79252110977081, 365.47165259348611, 29L, 348L, 61L, 383L)
(54.817848410757946, 127.81295843520782, 38L, 113L, 73L, 144L)
(52.398648648648646, 960.83378378378382, 38L, 945L, 68L, 978L)
(60.822535211267606, 925.5140845070423, 45L, 911L, 76L, 941L)
(64.015736766809724, 725.59513590844062, 51L, 710L, 78L, 743L)
(71.942415730337075, 487.58286516853934, 58L, 473L, 87L, 505L)
(75.203166226912927, 257.27308707124013, 61L, 241L, 91L, 274L)
(73.118168389955684, 685.30871491875928, 61L, 669L, 86L, 703L)
(79.721111111111114, 452.77444444444444, 62L, 438L, 98L, 469L)
(85.337662337662337, 216.92443919716646, 68L, 200L, 102L, 234L)
(86.536376604850219, 26.693295292439373, 71L, 13L, 103L, 41L)
(94.216753926701571, 814.93089005235606, 78L, 798L, 112L, 833L)
(95.518672199170126, 998.45643153526976, 83L, 992L, 111L, 1004L)
(102.69781553398059, 775.93446601941753, 87L, 760L, 119L, 792L)
(104.6208651399491, 570.61832061068708, 90L, 554L, 120L, 588L)
(107.81830417227457, 344.65679676985195, 93L, 330L, 123L, 361L)
(111.51158645276293, 533.85204991087346, 98L, 521L, 126L, 548L)
(118.67082035306335, 307.92731048805814, 101L, 290L, 137L, 326L)
