(0.75438596491228072, 791.82456140350882, 0L, 777L, 4L, 804L)
(4.371428571428571, 333.71428571428572, 1L, 331L, 9L, 337L)
(5.3600000000000003, 179.75999999999999, 2L, 176L, 10L, 184L)
(5.8181818181818183, 995.22727272727275, 2L, 992L, 11L, 999L)
(6.7199999999999998, 23.300000000000001, 3L, 20L, 12L, 28L)
(7.1333333333333337, 677.70000000000005, 5L, 675L, 11L, 682L)
(10.676470588235293, 553.20588235294122, 6L, 549L, 17L, 558L)
(10.739130434782609, 366.26086956521738, 7L, 363L, 15L, 371L)
(10.966666666666667, 521.0333333333333, 7L, 517L, 16L, 526L)
(12.377358490566039, 240.73584905660377, 8L, 238L, 17L, 245L)
(11.028571428571428, 898.74285714285713, 8L, 896L, 15L, 903L)
(12.114285714285714, 398.74285714285713, 9L, 396L, 16L, 403L)
(13.5, 211.58000000000001, 10L, 208L, 18L, 216L)
(14.822222222222223, 55.444444444444443, 11L, 53L, 20L, 59L)
(14.577777777777778, 772.33333333333337, 11L, 769L, 19L, 777L)
(15.529411764705882, 430.43137254901961, 12L, 427L, 20L, 435L)
(16.25, 587.60000000000002, 13L, 585L, 21L, 591L)
(16.452830188679247, 616.4905660377359, 13L, 613L, 21L, 621L)
(17.5, 87.5, 14L, 85L, 22L, 91L)
(20.958333333333332, 462.70833333333331, 14L, 457L, 28L, 470L)
(20.571428571428573, 273.38095238095241, 17L, 270L, 25L, 277L)
(20.770833333333332, 805.6875, 17L, 802L, 25L, 810L)
(24.260869565217391, 305.47826086956519, 21L, 302L, 29L, 310L)
(25.156862745098039, 337.76470588235293, 21L, 334L, 30L, 342L)
(23.851851851851851, 868.2037037037037, 21L, 864L, 28L, 873L)
(25.5, 151.0, 22L, 148L, 30L, 155L)
(30.943925233644858, 930.29906542056074, 22L, 926L, 40L, 936L)
(26.611111111111111, 181.44444444444446, 23L, 179L, 31L, 185L)
(35.45774647887324, 651.66901408450701, 23L, 648L, 49L, 656L)
(28.903846153846153, 837.05769230769226, 25L, 833L, 33L, 842L)
(29.934426229508198, 370.5409836065574, 26L, 367L, 35L, 375L)
(28.875, 558.77083333333337, 26L, 555L, 33L, 563L)
(31.225000000000001, 526.75, 28L, 523L, 36L, 531L)
(33.075000000000003, 27.425000000000001, 30L, 24L, 37L, 31L)
(33.555555555555557, 212.80555555555554, 30L, 210L, 38L, 216L)
(34.149253731343286, 746.70149253731347, 30L, 743L, 40L, 751L)
(35.799999999999997, 247.16363636363636, 31L, 244L, 41L, 251L)
(41.345323741007192, 682.93525179856113, 31L, 679L, 52L, 688L)
(36.571428571428569, 90.387755102040813, 32L, 88L, 43L, 94L)
(36.200000000000003, 401.67272727272729, 32L, 398L, 41L, 406L)
(39.741935483870968, 431.58064516129031, 37L, 429L, 43L, 435L)
(42.390243902439025, 121.8780487804878, 39L, 119L, 47L, 126L)
(41.89473684210526, 276.78947368421052, 39L, 274L, 46L, 281L)
(44.151515151515149, 309.63636363636363, 41L, 307L, 48L, 313L)
(44.867924528301884, 498.05660377358492, 41L, 495L, 50L, 502L)
(44.969696969696969, 151.72727272727272, 42L, 149L, 49L, 155L)
(44.899999999999999, 840.95000000000005, 43L, 839L, 48L, 844L)
(48.306122448979593, 339.9795918367347, 44L, 337L, 53L, 344L)
(47.324324324324323, 968.32432432432438, 44L, 966L, 51L, 972L)
(51.542857142857144, 371.42857142857144, 49L, 368L, 56L, 375L)
(52.5, 873.0, 49L, 870L, 57L, 877L)
(54.285714285714285, 62.399999999999999, 51L, 60L, 59L, 66L)
(53.892857142857146, 810.03571428571433, 51L, 808L, 58L, 813L)
(55.756097560975611, 218.53658536585365, 53L, 215L, 60L, 223L)
(55.885714285714286, 405.42857142857144, 53L, 403L, 60L, 409L)
(56.10526315789474, 903.5526315789474, 53L, 901L, 60L, 908L)
(57.575757575757578, 92.939393939393938, 54L, 90L, 62L, 96L)
(58.339285714285715, 559.26785714285711, 54L, 556L, 64L, 564L)
(57.313725490196077, 778.88235294117646, 54L, 776L, 62L, 783L)
(58.153846153846153, 436.65384615384613, 55L, 433L, 63L, 441L)
(58.0, 591.0, 55L, 587L, 62L, 596L)
(58.771428571428572, 247.62857142857143, 56L, 245L, 63L, 251L)
(59.244897959183675, 749.91836734693879, 56L, 746L, 63L, 755L)
(59.689655172413794, 934.25862068965512, 56L, 930L, 64L, 939L)
(60.0, 281.2439024390244, 57L, 278L, 64L, 285L)
(60.113636363636367, 720.06818181818187, 57L, 717L, 65L, 724L)
(63.680851063829785, 313.04255319148939, 60L, 310L, 68L, 317L)
(63.384615384615387, 467.38461538461536, 60L, 464L, 68L, 472L)
(68.232558139534888, 344.81395348837208, 65L, 342L, 73L, 349L)
(68.5, 687.02777777777783, 65L, 684L, 73L, 691L)
(69.611111111111114, 654.38888888888891, 66L, 651L, 74L, 659L)
(68.931818181818187, 843.02272727272725, 66L, 839L, 73L, 848L)
(70.84210526315789, 531.40350877192986, 67L, 527L, 76L, 536L)
(69.853658536585371, 813.85365853658539, 67L, 811L, 74L, 818L)
(73.166666666666671, 375.95833333333331, 69L, 372L, 78L, 381L)
(75.416666666666671, 95.416666666666671, 71L, 93L, 81L, 99L)
(77.442307692307693, 219.65384615384616, 74L, 216L, 82L, 224L)
(78.590909090909093, 720.90909090909088, 74L, 718L, 83L, 725L)
(79.0, 253.32075471698113, 75L, 250L, 84L, 258L)
(78.784313725490193, 407.29411764705884, 75L, 404L, 84L, 411L)
(78.673469387755105, 907.9591836734694, 75L, 905L, 83L, 912L)
