(10.785087719298245, 162.25584795321637, 0L, 146L, 24L, 180L)
(6.1547619047619051, 374.19708994708992, 0L, 347L, 18L, 413L)
(4.6950354609929077, 587.55673758865248, 0L, 573L, 13L, 604L)
(9.5826513911620292, 951.93780687397714, 0L, 936L, 22L, 969L)
(15.35672514619883, 120.00877192982456, 2L, 105L, 30L, 137L)
(15.6812585499316, 712.85499316005473, 2L, 696L, 30L, 731L)
(16.500749625187407, 912.86806596701649, 2L, 899L, 31L, 929L)
(20.379975874547647, 296.37997587454765, 7L, 274L, 32L, 318L)
(23.617534942820839, 479.38500635324016, 8L, 464L, 40L, 496L)
(27.137119113573409, 672.27423822714684, 13L, 657L, 42L, 689L)
(30.610103626943005, 246.59585492227978, 17L, 230L, 46L, 264L)
(34.222778473091367, 441.21026282853569, 18L, 427L, 52L, 457L)
(41.332317073170735, 19.692073170731707, 27L, 6L, 58L, 34L)
(43.48692403486924, 208.02864259028644, 27L, 194L, 61L, 224L)
(43.904382470119522, 799.69853917662681, 30L, 783L, 59L, 817L)
(46.730529595015575, 991.61526479750773, 32L, 978L, 62L, 1004L)
(56.217081850533809, 559.21233689205224, 40L, 543L, 75L, 577L)
(56.258474576271183, 757.11723163841805, 43L, 741L, 71L, 774L)
(61.159901599015988, 330.86346863468634, 46L, 315L, 78L, 348L)
(68.670012547051442, 518.72898368883307, 53L, 502L, 85L, 535L)
(67.146788990825684, 931.96513761467895, 53L, 919L, 82L, 945L)
(75.413043478260875, 91.910755148741416, 57L, 76L, 94L, 108L)
(75.250836120401331, 286.52173913043481, 58L, 270L, 94L, 303L)
(77.31803278688524, 881.22513661202186, 60L, 865L, 96L, 898L)
(74.02209944751381, 697.82596685082876, 64L, 686L, 85L, 711L)
(81.21350364963503, 470.87226277372264, 68L, 454L, 94L, 487L)
(88.067515923566873, 54.751592356687901, 72L, 40L, 105L, 71L)
(88.558456299659483, 637.50397275822934, 73L, 620L, 106L, 655L)
(88.342751842751838, 841.04299754299757, 73L, 825L, 105L, 858L)
(92.032544378698219, 775.39423076923072, 76L, 743L, 108L, 808L)
(95.36321303841676, 411.76833527357394, 79L, 396L, 113L, 429L)
(94.057921635434411, 232.09880749574106, 81L, 218L, 108L, 248L)
(100.16691285081241, 598.81536189069425, 86L, 584L, 115L, 615L)
(106.80199115044248, 175.67809734513276, 90L, 159L, 125L, 194L)
(106.67453416149068, 373.3031055900621, 90L, 358L, 123L, 390L)
(111.17812061711079, 960.75876577840108, 97L, 945L, 127L, 977L)
(119.52287581699346, 131.97516339869281, 104L, 117L, 136L, 148L)
(119.31535269709543, 723.28492392807743, 105L, 708L, 134L, 740L)
(120.37037037037037, 924.64660493827159, 107L, 910L, 135L, 940L)
(129.29508196721312, 490.39791356184799, 116L, 475L, 143L, 507L)
(129.50210970464136, 684.74402250351613, 116L, 669L, 144L, 701L)
(131.71582733812949, 79.669064748201436, 120L, 66L, 146L, 94L)
(132.77684210526317, 874.04631578947374, 121L, 861L, 145L, 888L)
(133.81372549019608, 631.03676470588232, 123L, 619L, 146L, 643L)
(137.6295731707317, 453.32469512195121, 124L, 439L, 152L, 469L)
(139.7966963151207, 262.14358322744602, 125L, 246L, 156L, 279L)
(145.9496021220159, 817.23076923076928, 132L, 801L, 161L, 834L)
(148.47282608695653, 31.528532608695652, 133L, 16L, 165L, 47L)
(147.74465408805031, 222.44402515723272, 133L, 206L, 164L, 239L)
(150.89619377162629, 998.04844290657445, 136L, 991L, 167L, 1004L)
(156.36069651741295, 576.31094527363189, 142L, 560L, 172L, 595L)
(156.59176029962546, 777.95255930087387, 142L, 762L, 172L, 795L)
(161.11647727272728, 6.3636363636363633, 148L, 0L, 177L, 16L)
(166.78400954653938, 536.31622911694512, 150L, 521L, 184L, 553L)
(164.75438596491227, 958.10721247563356, 153L, 944L, 177L, 973L)
(169.09378960709759, 351.24588086185042, 154L, 336L, 186L, 368L)
(169.52818991097922, 717.19139465875367, 155L, 701L, 184L, 732L)
(176.61482381530985, 115.771567436209, 162L, 99L, 193L, 133L)
(176.85263157894738, 312.2763157894737, 162L, 297L, 193L, 328L)
(180.19518377693282, 903.00506970849176, 165L, 887L, 196L, 921L)
(180.928, 483.37439999999998, 166L, 469L, 197L, 496L)
(188.09999999999999, 663.43076923076922, 172L, 647L, 205L, 682L)
(190.03629032258064, 74.594086021505376, 174L, 60L, 207L, 90L)
(191.16430594900851, 862.90084985835699, 177L, 847L, 206L, 879L)
(194.18055555555554, 251.71527777777777, 180L, 242L, 208L, 264L)
(198.83677910772579, 623.68335146898801, 181L, 608L, 217L, 640L)
(198.70572916666666, 434.34895833333331, 182L, 419L, 217L, 449L)
(200.80473372781066, 813.19822485207101, 191L, 802L, 211L, 825L)
(209.50253164556963, 199.28481012658227, 194L, 184L, 226L, 216L)
(208.71104387291982, 397.77307110438727, 195L, 383L, 224L, 413L)
