(51.524475524475527, 935.19580419580416, 45L, 929L, 59L, 943L)
(53.263513513513516, 788.60135135135135, 46L, 782L, 61L, 796L)
(53.613553113553117, 831.89743589743591, 46L, 810L, 62L, 855L)
(53.82233502538071, 870.25888324873097, 46L, 862L, 62L, 879L)
(60.594982078853043, 659.84229390681003, 48L, 650L, 72L, 670L)
(56.421455938697321, 749.88505747126442, 48L, 738L, 66L, 763L)
(54.075949367088604, 3.1645569620253164, 49L, 0L, 61L, 8L)
(59.190635451505017, 690.25418060200673, 49L, 680L, 70L, 702L)
(57.944751381215468, 456.7292817679558, 51L, 449L, 66L, 465L)
(57.5, 773.0, 51L, 767L, 65L, 780L)
(56.653465346534652, 801.69306930693074, 51L, 796L, 63L, 808L)
(60.693693693693696, 63.328828828828826, 52L, 56L, 70L, 72L)
(57.747126436781606, 263.0, 53L, 258L, 64L, 269L)
(63.839552238805972, 511.2350746268657, 54L, 501L, 75L, 524L)
(59.280373831775698, 610.68224299065423, 54L, 605L, 66L, 617L)
(60.523809523809526, 715.77380952380952, 54L, 708L, 68L, 724L)
(62.909502262443439, 141.09502262443439, 55L, 133L, 72L, 150L)
(61.993006993006993, 248.7972027972028, 56L, 242L, 69L, 256L)
(64.951807228915669, 478.72289156626505, 56L, 469L, 75L, 490L)
(64.117647058823536, 113.46470588235294, 57L, 106L, 72L, 122L)
(64.412698412698418, 219.96825396825398, 58L, 214L, 72L, 227L)
(63.901315789473685, 367.91447368421052, 58L, 361L, 71L, 376L)
(64.785714285714292, 161.61904761904762, 59L, 156L, 72L, 169L)
(65.719512195121951, 628.07926829268297, 59L, 621L, 73L, 636L)
(66.365671641791039, 538.6343283582089, 60L, 532L, 74L, 546L)
(65.932330827067673, 566.8496240601504, 60L, 561L, 73L, 574L)
(67.088709677419359, 598.09677419354841, 61L, 592L, 74L, 605L)
(67.318181818181813, 942.38636363636363, 61L, 936L, 74L, 950L)
(66.567567567567565, 976.41441441441441, 61L, 971L, 73L, 983L)
(68.34482758620689, 183.68965517241378, 63L, 176L, 75L, 192L)
(70.902173913043484, 445.54891304347825, 64L, 438L, 79L, 454L)
(70.943089430894304, 269.20325203252031, 65L, 263L, 78L, 276L)
(72.242774566473983, 298.09248554913296, 65L, 291L, 80L, 306L)
